CombinedSpineCont... started logging at time 02242018_124628 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
25.654,0.17244,-67.3245,2.75001,-6.21176,-65.0314,2.75,8.71312,0.998285,2.75,-8.24948,0.46161,4.49722,6.73949,
25.6641,0.176965,-67.3387,2.75,-6.20805,-65.0305,2.75,8.71448,0.99636,2.75,-8.25554,0.472553,4.55831,6.72664,
25.6742,0.181596,-67.353,2.75007,-6.20442,-65.0294,2.75,8.71574,0.99441,2.75,-8.26171,0.483265,4.62102,6.7132,
25.6843,0.186308,-67.3671,2.75012,-6.20069,-65.0284,2.75001,8.71711,0.992398,2.75,-8.26805,0.494166,4.68544,6.69911,
25.6944,0.191038,-67.3809,2.75009,-6.19702,-65.0273,2.75,8.71844,0.990352,2.75,-8.27453,0.505682,4.75171,6.68436,
25.7045,0.195783,-67.3949,2.75002,-6.1933,-65.0262,2.75,8.71975,0.988245,2.75,-8.28118,0.51787,4.81984,6.66889,
25.7146,0.200541,-67.4096,2.75013,-6.18954,-65.0251,2.75,8.721,0.98611,2.75,-8.28797,0.530738,4.88985,6.65271,
25.7247,0.205355,-67.4252,2.75032,-6.18552,-65.0239,2.75001,8.72232,0.983923,2.75,-8.29492,0.543909,4.96159,6.63577,
25.7348,0.210252,-67.4419,2.75047,-6.18132,-65.0226,2.75,8.72362,0.981682,2.75,-8.3019,0.55682,5.03504,6.61816,
25.7449,0.21528,-67.4594,2.75048,-6.17696,-65.0213,2.75,8.72492,0.979291,2.75,-8.30882,0.568999,5.11012,6.59996,
